SYGIC_TRAVEL_ID,RATING,LATITUDE,LONGITUDE,NAME,MARKER,PEREX,THUMBNAIL_URL,CATEGORIES,DS_SUMMARY,DS_ICON,DS_APPARENT_TEMPERATURE_LOW,DS_DEW_POINT,DS_HUMIDITY,DS_PRESSURE,DS_WIND_SPEED,DS_WIND_GUST,DS_CLOUD_COVER,DS_VISIBILITY
poi:7543,0.18708264686918,55.2402582,-6.5122852,Giant's Causeway,hiking:monument,"The Giant's Causeway is an area of about 40,000 interlocking basalt columns, the result of an ancient volcanic fissure eruption.",https://media-cdn.sygictraveldata.com/media/poi:7543,"hiking,sightseeing,discovering",Mostly cloudy throughout the day.,partly-cloudy-day,53.63,47.56,0.89,1020.28,10.61,31.27,0.92,9
poi:36739,0.13004045677787,54.6081128,-5.9098558,Titanic Belfast,sightseeing:architecture:modern,"Titanic Belfast is a visitor attraction opened in 2012, a monument to Belfast's maritime heritage on the site of the former Harland & Wolff…",https://media-cdn.sygictraveldata.com/media/poi:36739,"sightseeing,discovering",Light rain until afternoon.,rain,56.99,48.13,0.84,1020.91,11.11,28.11,0.98,7
poi:36740,0.11262291289581,55.239575,-6.3325146,Carrick-a-rede Rope Bridge,sightseeing:bridge,"Carrick-a-Rede Rope Bridge is a famous rope bridge near Ballintoy in County Antrim, Northern Ireland.",https://media-cdn.sygictraveldata.com/media/poi:36740,"hiking,sightseeing",Mostly cloudy throughout the day.,partly-cloudy-day,53.26,47.62,0.89,1020.46,12.07,32.09,0.92,8
poi:55993,0.10905485179421,55.1346987,-6.3815826,The Dark Hedges,hiking:viewpoint,"Considered to be the most iconic natural phenomenon in Northern Ireland and a popular tourist spot, this scenic road lined by beech trees…",https://media-cdn.sygictraveldata.com/media/poi:55993,"hiking,sightseeing",Light rain in the morning.,rain,55.27,47.71,0.89,1020.41,10.44,30.84,0.94,8
poi:56018,0.096531331136783,54.5964319,-5.9299266,Belfast City Hall,sightseeing:town_hall:city_hall,"Built in Baroque Revival style, this civic building features several statues, portraits and memorials worth seeing.",https://media-cdn.sygictraveldata.com/media/poi:56018,sightseeing,Light rain until afternoon.,rain,57.48,48.14,0.83,1020.89,10.84,27.92,0.98,7
poi:55150,0.077342102623725,55.2108535,-6.5793477,Dunluce Castle,sightseeing:castle,"Dunluce Castle is a now-ruined medieval castle in Northern Ireland. It is located on the edge of a basalt outcropping in County Antrim, and…",https://media-cdn.sygictraveldata.com/media/poi:55150,"hiking,sightseeing",Light rain in the morning.,rain,53.82,47.56,0.89,1020.21,10.11,30.82,0.92,9
poi:56020,0.057539476878826,54.5958515,-5.9220133,Saint George's Market,shopping:centre:district,"St George's Market is the last surviving Victorian covered market in Belfast, Northern Ireland.",https://media-cdn.sygictraveldata.com/media/poi:56020,"eating,shopping,sightseeing",Light rain until afternoon.,rain,57.42,48.14,0.83,1020.9,10.93,27.97,0.98,7
poi:36750,0.056756358211777,54.6427748,-5.9421841,Belfast Castle,relaxing:park:garden,"Recently renovated, this castle is a gem dominating the landscape. If not interested in monuments, come here at least for the great views.",https://media-cdn.sygictraveldata.com/media/poi:36750,"hiking,sightseeing,relaxing",Light rain until afternoon.,rain,56.36,48.11,0.86,1020.88,10.8,28.07,0.98,7
poi:47860,0.052717426954019,54.6027764,-5.9286418,Saint Anne's Cathedral,other:place_of_worship:church:cathedral,"St Anne's Cathedral, also known as Belfast Cathedral, is a cathedral of the Church of Ireland in Donegall Street, Belfast, Northern Ireland.",https://media-cdn.sygictraveldata.com/media/poi:47860,sightseeing,Light rain until afternoon.,rain,57.48,48.14,0.83,1020.89,10.87,27.96,0.98,7
poi:47856,0.048150801997549,54.6008536,-5.9243781,Albert Memorial Clock,sightseeing:landmark,"The Albert Memorial Clock is a clock tower situated at Queen's Square in Belfast, Northern Ireland.",https://media-cdn.sygictraveldata.com/media/poi:47856,sightseeing,Light rain until afternoon.,rain,57.45,48.14,0.83,1020.9,10.92,27.97,0.98,7
poi:7587,0.042395245244799,54.6095319,-5.9421769,Crumlin Road Gaol,other:building:convention_centre,"HMP Belfast, also known as Crumlin Road Gaol, is a former prison situated on the Crumlin Road in north Belfast, Northern Ireland.",https://media-cdn.sygictraveldata.com/media/poi:7587,"discovering,sightseeing",Light rain until afternoon.,rain,57.45,48.14,0.83,1020.88,10.72,27.9,0.98,7
poi:64250,0.036519911080323,54.5922063,-5.9617411,Falls Road,sightseeing:art:artwork,"The Falls Road is the main road through west Belfast, Northern Ireland, running from Divis Street in Belfast city centre to Andersonstown…",https://media-cdn.sygictraveldata.com/media/poi:64250,"discovering,sightseeing",Light rain until afternoon.,rain,57.78,48.15,0.83,1020.86,10.45,27.68,0.98,7
poi:55995,0.035073834432114,55.2017849,-6.5207306,Old Bushmills Distillery,sightseeing:distillery,"The Old Bushmills Distillery is a distillery in Bushmills, County Antrim, Northern Ireland.",https://media-cdn.sygictraveldata.com/media/poi:55995,"eating,sightseeing",Light rain in the morning.,rain,55.96,47.61,0.87,1020.27,10.2,30.96,0.92,9
poi:47857,0.02865004443392,54.5811162,-5.9316869,Botanic Gardens,hiking:park:nature,"Botanic Gardens is a public garden in Belfast, Northern Ireland.",https://media-cdn.sygictraveldata.com/media/poi:47857,"hiking,relaxing,discovering",Light rain until afternoon.,rain,57.41,48.15,0.84,1020.89,10.78,27.83,0.98,7
